"Team","total_wins","total_losses","win_pct","total_pts","total_opp_pts","avg_fgpct","avg_opp_fgpct","total_rebounds","total_turnovers","total_assists"
"Abilene Christian",164,136,0.546666666666667,22443,21520,0.447234726688103,0.451366559485531,9343,4053,4514
"Air Force",105,191,0.35472972972973,20239,21738,0.443934853420195,0.462120521172638,8576,3662,4302
"Akron",213,104,0.67192429022082,24316,22352,0.444128440366972,0.427296636085627,10705,3737,4459
"Alabama",217,118,0.647761194029851,26684,24813,0.448849710982659,0.417468208092486,12302,4480,4657
"Alabama A&M",78,203,0.277580071174377,19092,21344,0.409235494880546,0.447160409556314,9062,4135,3424
"Alabama State",108,180,0.375,20668,21922,0.40253488372093,0.441614617940199,9908,3875,3311
"Alabama-Birmingham",22,7,0.758620689655172,2105,1748,0.449862068965517,0.406896551724138,973,288,308
"Albany (NY)",134,132,0.503759398496241,19609,19310,0.441229090909091,0.454541818181818,8683,3275,3328
"Alcorn State",118,174,0.404109589041096,20347,21907,0.418043046357616,0.449708609271523,9501,3910,3303
"American",117,160,0.422382671480144,19111,19965,0.453979661016949,0.463538983050847,8083,3552,3708
"Appalachian State",145,156,0.481727574750831,22574,21943,0.429554140127389,0.431331210191083,10535,3719,3967
"Arizona",218,74,0.746575342465753,24296,21142,0.478534653465347,0.421042904290429,10858,3610,4865
"Arizona State",159,144,0.524752475247525,23608,23502,0.434498442367601,0.439563862928349,10157,3697,4234
"Arkansas",184,108,0.63013698630137,23731,22181,0.455534426229508,0.426019672131148,10014,3571,4324
"Arkansas State",144,154,0.483221476510067,22965,22831,0.43495873015873,0.436993650793651,10723,3799,4087
"Arkansas-Pine Bluff",89,212,0.295681063122924,20577,23197,0.415900958466454,0.45588178913738,8917,4577,3674
"Army",133,159,0.455479452054795,22044,22070,0.44111038961039,0.446642857142857,10054,3780,4462
"Auburn",212,111,0.656346749226006,26191,24201,0.44113056379822,0.425017804154303,11172,4034,4767
"Austin Peay",138,163,0.458471760797342,23162,23485,0.440830188679245,0.468720125786164,9966,3810,4010
"Ball State",145,145,0.5,23022,22528,0.452726688102894,0.433607717041801,10281,4053,4235
"Baylor",203,91,0.69047619047619,23149,20514,0.464201986754967,0.435437086092715,10055,3635,4640
"Bellarmine",60,87,0.408163265306122,10463,10621,0.465563758389262,0.453489932885906,4097,1477,2136
"Belmont",203,76,0.727598566308244,22956,20888,0.48325,0.437447916666667,9298,3360,4886
"Bethune-Cookman",113,160,0.413919413919414,20160,20946,0.423194444444444,0.438503472222222,9395,3846,3549
"Binghamton",104,181,0.364912280701754,19773,20892,0.435063973063973,0.439979797979798,9366,3716,3460
"Boise State",187,92,0.670250896057348,21750,19645,0.456643835616438,0.434650684931507,9545,3297,3700
"Boston College",120,176,0.405405405405405,21718,22684,0.436669871794872,0.45075641025641,9782,3765,4045
