class_year,rank,first_name,last_name,position,height,weight,high_school,state,stars,commitment
2021,1,Chet,Holmgren,C,7-0,190,Minnehaha Academy,MN,5,Gonzaga
2021,2,Paolo,Banchero,PF,6-9,235,O Dea,WA,5,Duke
2021,3,Shaedon,Sharpe,SG,6-5,185,Dream City Christian,AZ,5,Kentucky
2021,4,Jaden,Hardy,CG,6-4,190,Coronado,NV,5,Professional
2021,5,Jalen,Duren,C,6-10,230,Montverde Academy,FL,5,Memphis
2021,6,Emoni,Bates,SF,6-8,200,Ypsi Prep Academy,MI,5,Memphis
2021,7,Jabari,Smith,PF,6-10,210,Sandy Creek,GA,5,Auburn
2021,8,Patrick,Baldwin Jr.,SF,6-9,190,Hamilton,WI,5,Milwaukee
2021,9,Peyton,Watson,SF,6-8,190,Long Beach Poly,CA,5,UCLA
2021,10,Hunter,Sallis,CG,6-5,175,Millard North,NE,5,Gonzaga
2021,11,Kennedy,Chandler,PG,6-1,165,Sunrise Christian Academy,KS,5,Tennessee
2021,12,AJ,Griffin,SF,6-7,200,Archbishop Stepinac,NY,5,Duke
2021,13,Scoot,Henderson,PG,6-3,180,Kell,GA,5,Professional
2021,14,Daimion,Collins,PF,6-9,210,Atlanta,TX,5,Kentucky
2021,15,Caleb,Houstan,PF,6-8,205,Montverde Academy,FL,5,Michigan
2021,16,Moussa,Diabate,PF,6-10,215,IMG Academy,FL,5,Michigan
2021,17,JD,Davison,PG,6-3,175,Calhoun Sch,AL,5,Alabama
2021,18,Kendall,Brown,SF,6-8,205,Sunrise Christian Academy,KS,5,Baylor
2021,19,Harrison,Ingram,SF,6-7,210,St. Mark's,TX,5,Stanford
2021,20,TyTy,Washington,PG,6-3,185,Compass Prep,AZ,5,Kentucky
2021,21,Michael,Foster,PF,6-9,220,Hillcrest Prep,AZ,5,Professional
2021,22,Max,Christie,SG,6-6,195,Rolling Meadows,IL,5,Michigan State
2021,23,Trevor,Keels,SG,6-5,210,Paul VI Catholic,VA,5,Duke
2021,24,Brandon,Huntley-Hatfield,PF,6-9,230,Scotland Campus,PA,5,Tennessee
2021,25,Aminu,Mohammed,SG,6-5,190,Greenwood Laboratory School,DC,5,Georgetown
2021,26,Nate,Bittle,C,6-11,200,Prolific Prep,CA,5,Oregon
2021,27,Matthew,Cleveland,SF,6-6,190,Pace Academy,GA,5,Florida State
2021,28,Bryce,McGowens,SG,6-6,175,Legacy Early College,SC,5,Nebraska
2021,29,Enoch,Boakye,C,6-10,240,George Harris Prep,ON,5,Arizona State
2021,30,Tamar,Bates,SG,6-4,175,IMG Academy,FL,4,Indiana
2021,31,Kowacie,Reeves,SG,6-6,170,Westside,GA,4,Florida
2021,32,Efton,Reid,C,6-11,225,IMG Academy,FL,4,LSU
