class_year,rank,first_name,last_name,position,height,weight,high_school,state,stars,commitment
2020,1,Cade,Cunningham,PG,6-6,215,Montverde Academy,TX,5,Oklahoma State
2020,2,Jalen,Green,CG,6-5,170,Prolific Prep,CA,5,Professional
2020,3,Evan,Mobley,C,6-11,205,Rancho Christian,CA,5,USC
2020,4,Jonathan,Kuminga,SF,6-8,205,The Patrick School,CONG,5,Professional
2020,5,Ziaire,Williams,SF,6-7,175,Sierra Canyon,CA,5,Stanford
2020,6,Brandon,Boston Jr.,SG,6-6,175,Sierra Canyon,CA,5,Kentucky
2020,7,Caleb,Love,PG,6-3,170,Christian Brothers College,MO,5,North Carolina
2020,8,Josh,Christopher,SG,6-5,215,Mayfair,CA,5,Arizona State
2020,9,Scottie,Barnes,PF,6-8,210,Montverde Academy,FL,5,Florida State
2020,10,Terrence,Clarke,SG,6-7,185,Brewster Academy,MA,5,Kentucky
2020,11,Greg,Brown III,PF,6-9,195,Vandegrift,TX,5,Texas
2020,12,Moussa,Cisse,C,6-10,220,Lausanne Collegiate School,TN,5,Memphis
2020,13,Jalen,Suggs,CG,6-5,200,Minnehaha Academy,MN,5,Gonzaga
2020,14,Jalen,Johnson,SF,6-8,215,Nicolet,WI,5,Duke
2020,15,Daishen,Nix,PG,6-5,205,Trinity International Schools,NV,5,Professional
2020,16,Jaden,Springer,CG,6-4,204,IMG Academy,FL,5,Tennessee
2020,17,Keon,Johnson,SG,6-5,186,The Webb School,TN,5,Tennessee
2020,18,Mark,Williams,C,7-0,225,IMG Academy,FL,5,Duke
2020,19,Makur,Maker,C,6-11,235,Hillcrest Prep,AZ,5,Howard
2020,20,Bryce,Thompson,CG,6-5,175,Booker T. Washington,OK,5,Kansas
2020,21,Josh,Primo,CG,6-6,180,Royal Crown,OH,5,Alabama
2020,22,Day'Ron,Sharpe,C,6-10,246,Montverde Academy,FL,5,North Carolina
2020,23,DJ,Steward,CG,6-3,165,Whitney Young,IL,5,Duke
2020,24,Jeremy,Roach,PG,6-2,180,Paul VI Catholic,VA,5,Duke
2020,25,Cameron,Thomas,SG,6-3,180,Oak Hill Academy,VA,5,LSU
2020,26,Khristian,Lander,PG,6-2,165,Francis Joseph Reitz Sch,IN,5,Indiana
2020,27,Sharife,Cooper,PG,6-0,160,McEachern,GA,5,Auburn
2020,28,Walker,Kessler,C,7-0,245,Woodward Academy,GA,5,North Carolina
2020,29,Karim,Mane,CG,6-4,195,Vanier College,QC,5,Professional
2020,30,Isaiah,Todd,PF,6-10,195,Word Of God Christian Academy,NC,5,Professional
2020,31,Marcus,Bagley,SF,6-7,220,Sheldon,CA,4,Arizona State
2020,32,Dawson,Garcia,PF,6-11,220,Prior Lake,MN,4,Marquette
2020,33,Josh,Hall,SF,6-9,190,Moravian Prep,NC,4,Professional
2020,34,Isaiah,Jackson,C,6-9,200,Waterford Mott,MI,4,Kentucky
2020,35,Adam,Miller,SG,6-3,170,Morgan Park HS,IL,4,Illinois
2020,36,Earl,Timberlake,SG,6-6,215,DeMatha Catholic,MD,4,Miami
2020,37,Devin,Askew,PG,6-3,195,Mater Dei,CA,4,Kentucky
