team,games
A&M-Corpus Christi,31
Abilene Christian,28
Air Force,29
Akron,30
Alabama,27
Alabama A&M,28
Alabama St.,30
Alcorn,25
American,29
App State,28
Arizona,33
Arizona St.,33
Ark.-Pine Bluff,30
Arkansas,28
Arkansas St.,34
Army West Point,28
Auburn,27
Austin Peay,28
BYU,29
Ball St.,32
Baylor,31
Bellarmine,26
Belmont,30
Bethune-Cookman,29
Binghamton,30
Boise St.,29
Boston College,32
Bowling Green,35
Bradley,31
Brown,25
Bryant,28
Bucknell,26
Buffalo,32
Butler,30
CSU Bakersfield,30
CSUN,29
Cal Poly,31
Cal St. Fullerton,28
California,32
California Baptist,30
Campbell,28
Canisius,31
Central Ark.,29
Central Conn. St.,26
Central Mich.,31
Charleston So.,27
Charlotte,29
Chattanooga,32
Chicago St.,29
Cincinnati,29
Clemson,31
Cleveland St.,33
Coastal Carolina,30
Col. of Charleston,34
Colgate,30
Colorado,30
Colorado St.,31
Columbia,23
Coppin St.,32
Cornell,24
Creighton,35
Dartmouth,24
Davidson,31
Dayton,34
DePaul,35
Delaware,27
Delaware St.,31
Denver,28
Drake,30
Duke,31
Duquesne,30
ETSU,30
East Carolina,29
Eastern Ill.,28
Eastern Ky.,31
Eastern Mich.,32
Eastern Wash.,27
Elon,29
Evansville,30
FGCU,32
FIU,33
Fairfield,33
Fairleigh Dickinson,31
Fla. Atlantic,31
Florida,31
Florida A&M,34
Florida St.,31
Fordham,27
Fresno St.,30
Furman,27
Ga. Southern,29
Gardner-Webb,28
George Mason,30
George Washington,32
Georgetown,30
Georgia,26
Georgia St.,30
Georgia Tech,31
Gonzaga,28
Grambling,29
Grand Canyon,31
Green Bay,33
Hampton,30
Harvard,23
Hawaii,31
High Point,30
Hofstra,29
Holy Cross,25
Houston,28
Houston Christian,28
Howard,29
IU Indy,32
Idaho,27
Idaho St.,31
Illinois,31
Illinois St.,33
Indiana,30
Indiana St.,30
Iona,32
Iowa,32
Iowa St.,28
Jackson St.,31
Jacksonville,29
Jacksonville St.,31
James Madison,27
Kansas,30
Kansas City,28
Kansas St.,27
Kennesaw St.,31
Kent St.,28
Kentucky,31
LIU,32
LMU (CA),31
LSU,27
Lafayette,25
Lamar University,29
Lehigh,29
Liberty,31
Lindenwood,34
Lipscomb,30
Little Rock,32
Long Beach St.,30
Louisiana,25
Louisiana Tech,31
Louisville,36
Loyola Chicago,34
Loyola Maryland,26
Manhattan,29
Marist,28
Marquette,34
Marshall,29
Maryland,31
McNeese,28
Memphis,28
Mercer,33
Merrimack,31
Miami (FL),33
Miami (OH),29
Michigan,31
Michigan St.,31
Middle Tenn.,31
Milwaukee,32
Minnesota,32
